 # time              Etot              Ltot
   0.31900000E+002  -0.14191553E+007   0.29827660E+009
   0.32000000E+002  -0.14188753E+007   0.29827660E+009
   0.32100000E+002  -0.14186346E+007   0.29827660E+009
   0.32200000E+002  -0.14184301E+007   0.29827659E+009
   0.32300000E+002  -0.14182591E+007   0.29827659E+009
   0.32400000E+002  -0.14181191E+007   0.29827659E+009
   0.32500000E+002  -0.14180081E+007   0.29827659E+009
   0.32600000E+002  -0.14179243E+007   0.29827659E+009
   0.32700000E+002  -0.14178660E+007   0.29827658E+009
   0.32800000E+002  -0.14178318E+007   0.29827658E+009
   0.32900000E+002  -0.14178205E+007   0.29827658E+009
   0.33000000E+002  -0.14178310E+007   0.29827658E+009
   0.33100000E+002  -0.14178623E+007   0.29827658E+009
   0.33200000E+002  -0.14179136E+007   0.29827657E+009
   0.33300000E+002  -0.14179840E+007   0.29827657E+009
   0.33400000E+002  -0.14180730E+007   0.29827657E+009
   0.33500000E+002  -0.14181798E+007   0.29827657E+009
   0.33600001E+002  -0.14183041E+007   0.29827656E+009
   0.33700001E+002  -0.14184453E+007   0.29827656E+009
   0.33800001E+002  -0.14186030E+007   0.29827656E+009
   0.33900001E+002  -0.14187769E+007   0.29827656E+009
   0.34000001E+002  -0.14189666E+007   0.29827656E+009
   0.34100001E+002  -0.14191720E+007   0.29827655E+009
   0.34200001E+002  -0.14193927E+007   0.29827655E+009
   0.34300001E+002  -0.14196287E+007   0.29827655E+009
   0.34400001E+002  -0.14198797E+007   0.29827655E+009
   0.34500001E+002  -0.14201456E+007   0.29827655E+009
   0.34600001E+002  -0.14204263E+007   0.29827654E+009
   0.34700001E+002  -0.14207218E+007   0.29827654E+009
   0.34800001E+002  -0.14210320E+007   0.29827654E+009
   0.34900001E+002  -0.14213570E+007   0.29827654E+009
   0.35000001E+002  -0.14216966E+007   0.29827653E+009
   0.35100001E+002  -0.14220510E+007   0.29827653E+009
   0.35200001E+002  -0.14224201E+007   0.29827653E+009
   0.35300001E+002  -0.14228041E+007   0.29827653E+009
   0.35400001E+002  -0.14232030E+007   0.29827653E+009
   0.35500001E+002  -0.14236170E+007   0.29827652E+009
   0.35600001E+002  -0.14240461E+007   0.29827652E+009
   0.35700001E+002  -0.14244906E+007   0.29827652E+009
   0.35800001E+002  -0.14249505E+007   0.29827652E+009
   0.35900001E+002  -0.14254260E+007   0.29827652E+009
   0.36000001E+002  -0.14259174E+007   0.29827651E+009
   0.36100001E+002  -0.14264251E+007   0.29827651E+009
   0.36200001E+002  -0.14269643E+007   0.29827651E+009
   0.36300001E+002  -0.14274888E+007   0.29827651E+009
   0.36400001E+002  -0.14280452E+007   0.29827650E+009
   0.36500001E+002  -0.14286188E+007   0.29827650E+009
   0.36600001E+002  -0.14292099E+007   0.29827650E+009
   0.36700001E+002  -0.14298185E+007   0.29827650E+009
   0.36800001E+002  -0.14304451E+007   0.29827650E+009
   0.36900001E+002  -0.14310900E+007   0.29827649E+009
   0.37000001E+002  -0.14317536E+007   0.29827649E+009
   0.37100001E+002  -0.14324361E+007   0.29827649E+009
   0.37200001E+002  -0.14331381E+007   0.29827649E+009
   0.37300001E+002  -0.14338599E+007   0.29827649E+009
   0.37400001E+002  -0.14346020E+007   0.29827648E+009
   0.37500001E+002  -0.14353647E+007   0.29827648E+009
